Date,agg0,agg10,agg30,agg60,agg120
1991-01-06,1.4,0.23,0.4,0.76,1.03
1991-01-07,3.2,0.93,1.44,2.07,2.39
1991-01-08,6.0,0.87,1.48,2.16,2.6
1991-01-09,8.8,0.87,1.5,2.48,4.08
1991-01-10,6.9,0.8,1.26,1.64,2.13
1991-01-11,1.3,0.5,0.5,0.5,0.5
1991-01-20,2.2,0.18,0.49,0.84,1.28
1991-02-10,1.2,0.05,0.18,0.35,0.6
1991-02-11,0.4,0.09,0.24,0.38,0.4
1991-02-23,7.6,0.44,1.24,2.06,3.23
1991-02-24,0.8,0.11,0.25,0.39,0.6
1991-03-03,3.2,0.24,0.58,0.89,1.2
1991-03-11,0.8,0.23,0.44,0.62,0.8
1991-03-12,0.2,0.05,0.18,0.2,0.2
1991-03-14,4.0,0.25,0.61,1.01,1.64
1991-03-15,0.6,0.15,0.43,0.6,0.6
1991-03-18,0.6,0.2,0.29,0.43,0.6
1991-03-19,5.8,0.37,1.08,2.17,3.5
1991-03-20,0.4,0.06,0.19,0.38,0.4
1991-03-21,3.8,0.5,0.75,1.34,2.01
1991-04-01,3.6,0.16,0.44,0.62,0.9
1991-04-02,1.6,0.11,0.28,0.54,0.91
1991-04-03,1.8,0.24,0.57,1.0,1.47
1991-04-07,1.0,0.34,0.57,0.59,0.79
1991-04-08,2.0,0.42,1.1,1.61,2.0
1991-04-16,0.6,0.6,0.6,0.6,0.6
1991-04-22,2.6,0.25,0.58,1.02,1.86
1991-04-28,11.4,0.55,1.5,2.22,3.71
1991-04-29,0.8,0.4,0.8,0.8,0.8
1991-04-30,1.4,0.6,0.79,0.79,0.79
1991-05-01,4.4,0.36,0.78,1.45,1.74
1991-05-03,2.6,0.16,0.47,0.85,1.4
1991-05-04,0.4,0.09,0.2,0.2,0.2
1991-06-03,3.2,0.43,0.85,1.11,1.35
1991-06-04,11.4,0.85,1.89,2.83,4.74
1991-06-07,0.2,0.08,0.2,0.2,0.2
1991-06-09,1.4,0.2,0.42,0.77,1.16
1991-06-10,5.4,1.13,1.66,1.84,2.59
1991-06-11,0.4,0.36,0.4,0.4,0.4
1991-06-12,4.2,0.86,1.36,2.14,2.89
1991-06-13,12.8,8.63,9.27,10.3,10.6
1991-06-14,4.2,0.6,1.57,1.6,1.6
1991-06-19,1.0,0.42,0.84,1.0,1.0
1991-06-20,2.0,0.32,0.58,0.92,1.75
1991-06-22,5.0,0.57,1.0,1.54,2.36
1991-06-23,3.6,0.96,1.33,1.68,1.8
1991-06-25,1.4,0.08,0.24,0.42,0.76
1991-06-26,3.8,0.9,2.1,2.75,3.0
1991-06-28,0.4,0.29,0.4,0.4,0.4
1991-06-29,2.8,0.8,1.58,1.9,1.99
1991-07-09,3.2,1.44,2.35,2.35,2.35
1991-07-12,0.8,0.8,0.8,0.8,0.8
1991-07-15,1.4,0.93,1.32,1.4,1.4
1991-08-09,0.8,0.25,0.67,0.8,0.8
1991-08-12,0.4,0.16,0.25,0.4,0.4
1991-08-24,3.2,0.75,1.23,1.64,2.52
1991-09-11,0.4,0.4,0.4,0.4,0.4
1991-09-15,1.8,0.62,0.78,1.45,1.8
1991-09-17,9.6,0.85,2.15,3.6,5.08
1991-09-18,0.4,0.2,0.3,0.4,0.4
1991-09-22,3.0,0.85,1.27,1.71,1.99
1991-09-23,1.8,0.73,0.96,1.18,1.24
1991-09-24,0.4,0.09,0.2,0.2,0.25
1991-09-29,9.0,0.56,1.49,2.38,3.51
1991-09-30,0.2,0.2,0.2,0.2,0.2
1991-10-01,4.0,0.81,0.92,1.2,1.2
1991-10-02,0.6,0.35,0.35,0.35,0.6
1991-10-03,5.4,1.2,1.91,2.5,3.74
1991-10-14,1.2,0.25,0.62,0.97,1.2
1991-10-15,2.6,0.56,1.31,1.85,2.2
1991-10-16,5.4,0.36,0.95,1.49,2.05
1991-10-17,6.4,0.5,1.3,1.73,2.68
1991-10-18,3.4,0.4,0.75,1.24,1.9
1991-11-01,11.1,0.87,2.27,4.13,6.67
1991-11-02,4.9,0.75,1.35,2.0,2.27
1991-11-03,1.6,0.44,0.6,0.6,1.0
1991-11-04,4.4,1.0,2.35,3.43,4.05
1991-11-05,3.4,0.5,0.96,1.38,1.6
1991-11-06,0.4,0.07,0.21,0.36,0.4
1991-11-07,6.2,0.46,1.16,1.93,3.33
1991-11-08,3.2,0.75,1.56,2.12,2.66
1991-11-10,0.4,0.14,0.26,0.37,0.4
1991-11-11,4.2,0.3,0.7,1.19,1.65
1991-11-13,2.6,0.34,0.82,1.41,1.78
1991-11-26,1.0,0.12,0.29,0.56,0.94
1991-12-17,2.4,0.31,0.63,0.94,1.77
1991-12-18,0.6,0.2,0.27,0.39,0.39
1991-12-19,3.0,0.52,0.96,0.96,1.5
1991-12-20,0.2,0.2,0.2,0.2,0.2
1991-12-21,0.2,0.16,0.2,0.2,0.2
1991-12-22,0.4,0.06,0.19,0.31,0.4
1991-12-23,1.2,0.16,0.44,0.7,1.07
1991-12-25,1.4,0.16,0.48,0.73,1.29
1991-12-26,0.4,0.11,0.27,0.38,0.44
1992-01-01,0.8,0.2,0.51,0.74,0.8
1992-01-02,0.4,0.18,0.4,0.4,0.4
1992-01-03,1.2,0.15,0.4,0.69,1.0
1992-01-04,1.0,0.48,0.6,0.6,0.6
1992-01-06,0.2,0.16,0.2,0.2,0.2
1992-01-08,1.0,0.18,0.53,0.67,0.78
1992-01-09,0.2,0.04,0.14,0.2,0.2
1992-01-18,1.2,0.18,0.47,0.67,1.08
1992-01-19,8.6,0.44,1.08,1.88,3.04
1992-01-25,1.4,0.45,0.83,1.14,1.4
1992-02-02,0.3,0.07,0.21,0.26,0.26
1992-02-03,1.9,0.2,0.44,0.67,1.27
1992-02-06,0.4,0.09,0.24,0.4,0.4
1992-02-10,1.8,0.2,0.58,0.94,1.2
1992-02-13,1.8,0.4,0.87,1.13,1.4
1992-02-14,0.2,0.2,0.2,0.2,0.2
1992-02-15,3.6,0.5,0.8,1.23,1.94
1992-02-22,1.1,0.09,0.28,0.5,0.83
1992-02-23,0.1,0.04,0.11,0.11,0.11
1992-03-02,0.8,0.25,0.55,0.8,0.8
1992-03-03,5.2,0.56,1.56,2.8,4.49
1992-03-10,1.6,0.18,0.49,0.8,1.4
1992-03-11,1.2,0.4,0.5,0.59,0.59
1992-03-12,10.0,0.51,1.06,1.77,3.4
1992-03-13,0.6,0.33,0.4,0.4,0.4
1992-03-14,0.4,0.4,0.4,0.4,0.4
